"Year","Make","Model","Used_Certified","Price","ConsumerRating","ConsumerReviews","SellerType","State","DealType","ComfortRating","ReliabilityRating","MinMPG","MaxMPG","FuelType","Mileage"
"2017","Chrysler","300 S","Used","33558","4.7","68","Dealer","PA","NA","4.8","4.7","19","30","Gasoline","27054"
"2020","Tesla","Model X Performance","Used","122222","4.2","5","Private","FL","NA","4.2","4.4","80","77","Electric","29918"
"2019","Subaru","Impreza 2.0i Premium","Used","4750","4.6","90","Dealer","FL","NA","4.7","4.6","28","36","Gasoline","67792"
"2019","Jeep","Cherokee Latitude Plus","Used","27500","4.6","568","Dealer","PA","Great","4.8","4.6","21","29","Gasoline","21870"
"2019","Jeep","Cherokee Latitude Plus","Used","21795","4.6","568","Dealer","PA","Great","4.8","4.6","22","31","Gasoline","74832"
"2018","BMW","320 i xDrive","Used","25950","4.9","50","Dealer","PA","Fair","4.9","5","23","34","Gasoline","55001"
"2020","Hyundai","Santa Fe SEL 2.4","Used","30187","4.8","202","Dealer","NJ","Good","4.9","4.9","21","27","Gasoline","42185"
"2020","Hyundai","Santa Fe SEL 2.4","Used","28959","4.8","202","Dealer","NJ","Great","4.9","4.9","21","27","Gasoline","27088"
"2019","Mercedes-Benz","AMG E 63 S 4MATIC","Certified","106999","5","2","Dealer","NJ","Fair","5","5","15","23","Gasoline","15113"
"2019","Mercedes-Benz","S-Class S 560 4MATIC","Used","71458","4.6","14","Dealer","NJ","Great","5","4.3","17","27","Gasoline","18022"
"2020","Hyundai","Santa Fe SEL 2.4","Used","30716","4.8","202","Dealer","NJ","Good","4.9","4.9","21","27","Gasoline","26693"
"2020","Hyundai","Elantra SE","Used","17995","4.8","134","Dealer","NJ","Great","4.8","4.8","30","40","Gasoline","21368"
"2020","BMW","X3 M40i","Used","49995","4.9","51","Dealer","NJ","Good","5","4.9","21","27","Gasoline","11970"
"2019","Volkswagen","Golf R 2.0T w/DCC & Navigation","Used","40500","4.8","16","Dealer","NY","Great","4.8","4.9","23","30","Gasoline","32143"
"2018","Land","Rover Range Rover HSE","Used","52874","3.8","10","Dealer","NY","NA","4","3.1","17","23","Gasoline","84844"
"2019","Mercedes-Benz","S-Class S 560 4MATIC","Used","62995","4.6","14","Dealer","NY","Great","5","4.3","17","27","Gasoline","35652"
"2018","BMW","430 Gran Coupe i xDrive","Used","26975","4.9","24","Dealer","MA","Great","5","5","23","33","Gasoline","39474"
"2018","BMW","430 Gran Coupe i xDrive","Used","25975","4.9","24","Dealer","MA","Great","5","5","23","33","Gasoline","42899"
"2019","Mercedes-Benz","GLS 450 4MATIC","Used","56287","5","10","Dealer","MA","Great","5","4.9","16","22","Gasoline","33427"
"2018","BMW","430 Gran Coupe i xDrive","Used","29995","4.9","24","Dealer","MA","Great","5","5","23","33","Gasoline","45266"
"2020","Mercedes-Benz","GLB 250 Base","Used","42492","4.1","32","Dealer","CA","Fair","4.6","3.3","23","30","Gasoline","11140"
"2021","Toyota","Camry SE","Used","31998","4.8","69","Dealer","CA","Good","4.8","4.9","28","39","Gasoline","27521"
"2018","Ford","Edge Sport","Certified","33998","4.8","232","Dealer","CA","Good","4.9","4.8","17","24","Gasoline","23046"
"2019","Subaru","Crosstrek 2.0i Premium","Used","28998","4.7","205","Dealer","AZ","Good","4.7","4.8","27","33","Gasoline","27911"
"2020","Dodge","Charger Scat Pack","Certified","49995","4.8","56","Dealer","AZ","Good","4.9","4.9","15","24","Gasoline","24858"
"2020","Dodge","Charger Scat Pack","Used","40600","4.8","56","Dealer","AZ","NA","4.9","4.9","15","24","Gasoline","21863"
"2021","Subaru","Crosstrek Premium","Used","26000","4.8","78","Dealer","UT","NA","4.9","4.8","28","33","Gasoline","7572"
"2018","Subaru","Crosstrek 2.0i Premium","Used","29998","4.8","343","Dealer","OR","Good","4.8","4.9","27","33","Gasoline","8832"
"2018","Subaru","Crosstrek 2.0i Premium","Used","27998","4.8","343","Dealer","WA","Fair","4.8","4.9","27","33","Gasoline","70778"
"2021","Toyota","4Runner Limited","Certified","51931","4.9","42","Dealer","CO","Good","5","4.9","16","19","Gasoline","20606"
"2019","Audi","Q5 2.0T Premium","Used","35700","4.7","42","Dealer","TX","Good","4.8","4.7","22","27","Gasoline","36644"
"2019","Audi","Q5 2.0T Premium","Used","38884","4.7","42","Dealer","TX","Good","4.8","4.7","22","27","Gasoline","21349"
"2021","Dodge","Challenger R/T","Used","33995","4.9","24","Dealer","TX","Great","4.9","4.8","15","23","Gasoline","18752"
"2017","Chevrolet","Camaro 2SS","Used","29995","4.8","264","Dealer","TX","Great","4.6","4.8","16","25","Gasoline","78378"
"2017","Nissan","Rogue S","Used","16985","4.7","547","Dealer","MN","Great","4.7","4.7","25","32","Gasoline","47061"
"2019","Toyota","Highlander SE","Used","39368","4.6","363","Dealer","AR","Good","4.8","4.6","21","27","Gasoline","27027"
"2019","Chevrolet","Cruze LS","Used","21998","4.8","69","Dealer","MO","Fair","4.8","4.8","28","38","Gasoline","29865"
"2018","Chevrolet","Traverse Premier","Used","36525","4.7","266","Dealer","IL","Great","4.9","4.6","18","27","Gasoline","56722"
"2020","Nissan","Murano SV","Used","27289","4.9","76","Dealer","LA","Great","4.9","4.8","20","28","Gasoline","41010"
"2019","BMW","540 i xDrive","Used","47805","4.9","17","Dealer","IL","Good","4.9","4.8","21","29","Gasoline","26042"
